2021年10月20日17时46分46秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=8c5d9516961b45e6b2ec7814398c53b0&simulatorId=352746020104537&otherNick=%E7%88%B1%E7%94%9F%E6%B4%BB%EF%BC%8C&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时46分16秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=6415&simulatorId=867632024659387  return:{"code":0,"message":"操作成功","data":{"goldCoin":6415,"userId":"80"}}
2021年10月20日17时46分15秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=867632024659387  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时46分15秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=d8c0f22dfcd74b1894ac4e9f79053625&result=0&simulatorId=867632024659387  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时46分2秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"人数不够，当前人数：1","data":[]}
2021年10月20日17时45分59秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":-1,"message":"人数不够，当前人数：1","data":[]}
2021年10月20日17时45分59秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010305022787858  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时45分59秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=010305022787858  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时45分59秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时45分59秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=572&newNickName=%E5%B0%8F%E9%93%B8  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分59秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=2922&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":2922,"userId":"572"}}
2021年10月20日17时45分59秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时45分59秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=c965c4c7a3e44352b931496f28e10219&result=0&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分41秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":-1,"message":"不能报名","data":[]}
2021年10月20日17时45分39秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=c965c4c7a3e44352b931496f28e10219&simulatorId=010305022787858&otherNick=%E7%A7%8B%E5%A5%88%E4%BD%95%E9%A1%BB%E8%BF%98%E8%83%BD%E8%BF%87&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时45分39秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"c965c4c7a3e44352b931496f28e10219"}
2021年10月20日17时45分39秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=35d6b8beda36457a85da4e05e8a61ecf&simulatorId=010139026475479&otherNick=yuibnfy&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币少，你输","data":"lose"}
2021年10月20日17时45分39秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=64683a31394340f8981b38fb9790298c&simulatorId=352746020104537&otherNick=%E5%A4%A9%E6%B6%AF%E7%BE%8E520&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币多，你赢","data":"win"}
2021年10月20日17时45分39秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010306028824190  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时45分39秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=d8c0f22dfcd74b1894ac4e9f79053625&simulatorId=867632024659387&otherNick=%E5%BF%98%E8%AE%B0%E8%BF%87%E5%8E%BB%E5%AF%B9&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时45分38秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"35d6b8beda36457a85da4e05e8a61ecf"}
2021年10月20日17时45分38秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=352746020104537  return:{"code":0,"message":"获取局id成功","data":"64683a31394340f8981b38fb9790298c"}
2021年10月20日17时45分38秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=867632024659387  return:{"code":0,"message":"获取局id成功","data":"d8c0f22dfcd74b1894ac4e9f79053625"}
2021年10月20日17时45分33秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时45分31秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时45分31秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时45分31秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=352746020104537  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时45分31秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：1","data":[]}
2021年10月20日17时45分31秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：1","data":[]}
2021年10月20日17时45分30秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=352746020104537  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：0","data":[]}
2021年10月20日17时45分30秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010306028824190  return:{"code":-1,"message":"加入失败","data":[]}
2021年10月20日17时45分30秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010305022787858  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时45分30秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=010306028824190  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时45分30秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=010305022787858  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时45分30秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010306028824190  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时45分30秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=479&newNickName=%E6%96%B0%E6%89%8B366482756  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分30秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时45分30秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=572&newNickName=%E5%B0%8F%E9%93%B8  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分30秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=2499&simulatorId=010306028824190  return:{"code":0,"message":"操作成功","data":{"goldCoin":2499,"userId":"479"}}
2021年10月20日17时45分30秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=3066&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":3066,"userId":"572"}}
2021年10月20日17时45分30秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010306028824190  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时45分30秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=1315dcc964a949abbd0dae16072e07b4&result=1&simulatorId=010306028824190  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分30秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时45分30秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=3ed88db8eaeb4e5e92a4b8ac27e6b630&result=0&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分9秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=352746020104537  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
2021年10月20日17时45分8秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
2021年10月20日17时45分6秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
2021年10月20日17时45分6秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=352746020104537  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时45分6秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=010139026475479  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时45分6秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=352746020104537  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时45分6秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=010139026475479  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时45分6秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=352746020104537  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时45分6秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时45分6秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=576&newNickName=yuibnfy  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分6秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=170&newNickName=%E5%A4%A9%E6%B6%AF%E7%BE%8E520  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分6秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=4468&simulatorId=352746020104537  return:{"code":0,"message":"操作成功","data":{"goldCoin":4468,"userId":"576"}}
2021年10月20日17时45分6秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=3834&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":3834,"userId":"170"}}
2021年10月20日17时45分6秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=352746020104537  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时45分6秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=ff655b6197c643fbb73bfb9b96fe59f1&result=0&simulatorId=352746020104537  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时45分6秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时45分6秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=a5c390f0bf81495d8d808846416bf936&result=1&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时44分46秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=ff655b6197c643fbb73bfb9b96fe59f1&simulatorId=352746020104537&otherNick=%E8%B4%A6%E5%8F%B7%E5%B7%B2%E7%BB%8F%E6%B6%88%E5%A4%B1&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时44分46秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=352746020104537  return:{"code":0,"message":"获取局id成功","data":"ff655b6197c643fbb73bfb9b96fe59f1"}
2021年10月20日17时44分42秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=867632024659387  return:{"code":-1,"message":"不能报名","data":[]}
2021年10月20日17时44分41秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=a5c390f0bf81495d8d808846416bf936&simulatorId=010139026475479&otherNick=SS%E6%97%A5%E6%9C%88%E5%90%8C%E8%BE%89SS&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时44分41秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"a5c390f0bf81495d8d808846416bf936"}
2021年10月20日17时44分40秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=1315dcc964a949abbd0dae16072e07b4&simulatorId=010306028824190&otherNick=%E5%B0%8F%E9%93%B8%EF%BC%8C&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月20日17时44分40秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=867632024659387  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时44分40秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=3ed88db8eaeb4e5e92a4b8ac27e6b630&simulatorId=010305022787858&otherNick=%E6%96%B0%E6%89%8B366482756&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币多，你赢","data":"win"}
2021年10月20日17时44分40秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010306028824190  return:{"code":0,"message":"获取局id成功","data":"1315dcc964a949abbd0dae16072e07b4"}
2021年10月20日17时44分40秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"3ed88db8eaeb4e5e92a4b8ac27e6b630"}
2021年10月20日17时44分35秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=352746020104537  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时44分32秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时44分32秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时44分32秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月20日17时44分32秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010306028824190  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：1","data":[]}
2021年10月20日17时44分32秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：1","data":[]}
2021年10月20日17时44分32秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，当前请求报名的人数：0","data":[]}
2021年10月20日17时44分32秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=867632024659387  return:{"code":-1,"message":"加入失败","data":[]}
2021年10月20日17时44分32秒	api_申请加入二麻小组  url:http://192.168.10.22:8003/api/user/joinGroup?simulatorId=352746020104537  return:{"code":0,"message":"加入成功","data":[]}
2021年10月20日17时44分32秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=867632024659387  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时44分32秒	api_通知服务器进入二麻场  url:http://192.168.10.22:8003/api/user/noticy?simulatorId=352746020104537  return:{"code":0,"message":"joinGroup","data":[]}
2021年10月20日17时44分32秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=867632024659387  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时44分32秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=352746020104537  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月20日17时44分32秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=80&newNickName=dkslekdi  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时44分32秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=576&newNickName=yuibnfy  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时44分32秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=6575&simulatorId=867632024659387  return:{"code":0,"message":"操作成功","data":{"goldCoin":6575,"userId":"80"}}
2021年10月20日17时44分32秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=4732&simulatorId=352746020104537  return:{"code":0,"message":"操作成功","data":{"goldCoin":4732,"userId":"576"}}
2021年10月20日17时44分31秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=867632024659387  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时44分31秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=352746020104537  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月20日17时44分31秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=0a5f2fd6e0ae42c6bbeda36d92348643&result=0&simulatorId=867632024659387  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时44分31秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=d65c4ad6d94249dca40d013610543586&result=1&simulatorId=352746020104537  return:{"code":0,"message":"操作成功","data":[]}
2021年10月20日17时43分37秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"人数不够，当前人数：2","data":[]}
