2021年10月22日0时59分32秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=82565d708ce24a539392f62ac2ac32ca&simulatorId=010139026475479&otherNick=%E6%9F%A0%E6%AA%AC%E9%80%89%E6%8B%A9%E8%8C%89%E8%8E%89&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时58分47秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=87585f1a9c234a2bbb78a8cb4035fde8&simulatorId=010139026475479&otherNick=%E6%8A%B9%E5%89%A5%E5%A4%A7%E5%8C%85%E8%9C%9C&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时58分47秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"87585f1a9c234a2bbb78a8cb4035fde8"}
2021年10月22日0时58分39秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时58分39秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时58分39秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时58分36秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时58分36秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=167&newNickName=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时58分36秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=19945&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":19945,"userId":"167"}}
2021年10月22日0时58分36秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时58分36秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=e7363e6377f24a5780438df6908d8c9d&result=0&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时58分34秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时58分34秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时58分32秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时58分32秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=256&newNickName=mbqi341276  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时58分31秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=32165&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":32165,"userId":"256"}}
2021年10月22日0时58分31秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时58分31秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=979f626f586b413ba5e8244c00fee5c8&result=1&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时57分47秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=979f626f586b413ba5e8244c00fee5c8&simulatorId=010305022787858&otherNick=%E7%AD%8B%E7%9A%84%E6%97%B6%E9%97%B4&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时57分47秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"979f626f586b413ba5e8244c00fee5c8"}
2021年10月22日0时57分39秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时57分12秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时57分11秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时57分8秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：1","data":[]}
2021年10月22日0时57分8秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：0","data":[]}
2021年10月22日0时57分6秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时57分6秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=256&newNickName=mbqi341276  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时57分6秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=32097&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":32097,"userId":"256"}}
2021年10月22日0时57分5秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时57分5秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=fd538cab6a1548edb571b0bddc3a7ef8&result=1&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时56分58秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=e7363e6377f24a5780438df6908d8c9d&simulatorId=010139026475479&otherNick=%E6%96%B0%E6%89%8B290560234&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币少，你输","data":"lose"}
2021年10月22日0时56分58秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"e7363e6377f24a5780438df6908d8c9d"}
2021年10月22日0时56分50秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时56分45秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时56分45秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时56分43秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时56分43秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=167&newNickName=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时56分43秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=20047&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":20047,"userId":"167"}}
2021年10月22日0时56分42秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时56分42秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=90b5d7e65d0940b1bc6b02d995deb2b9&result=0&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时56分14秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=fd538cab6a1548edb571b0bddc3a7ef8&simulatorId=010305022787858&otherNick=JHJ55696&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币多，你赢","data":"win"}
2021年10月22日0时56分14秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"fd538cab6a1548edb571b0bddc3a7ef8"}
2021年10月22日0时56分14秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=90b5d7e65d0940b1bc6b02d995deb2b9&simulatorId=010139026475479&otherNick=%E5%A2%A9%E4%B8%AA%E6%98%AF%E6%98%B5%E7%A7%B0&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时56分14秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"90b5d7e65d0940b1bc6b02d995deb2b9"}
2021年10月22日0时56分6秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时56分6秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时56分6秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时56分6秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时56分6秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时56分5秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时56分4秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：1","data":[]}
2021年10月22日0时56分4秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：0","data":[]}
2021年10月22日0时56分3秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时56分3秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=256&newNickName=mbqi341276  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时56分3秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=31879&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":31879,"userId":"256"}}
2021年10月22日0时56分3秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时56分3秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=0fd23b4908bc405f8a663e463638d235&result=1&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时56分2秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时56分2秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=167&newNickName=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时56分2秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=20151&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":20151,"userId":"167"}}
2021年10月22日0时56分1秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时56分1秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=eb8580ff76e5431e958e2cd89f375adc&result=1&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时55分38秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=0fd23b4908bc405f8a663e463638d235&simulatorId=010305022787858&otherNick=%E7%96%8F%E5%84%BF&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时55分38秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=eb8580ff76e5431e958e2cd89f375adc&simulatorId=010139026475479&otherNick=%E7%A2%A7%E9%98%B3%E6%B7%A1%E5%A4%8F&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时55分37秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"0fd23b4908bc405f8a663e463638d235"}
2021年10月22日0时55分37秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"eb8580ff76e5431e958e2cd89f375adc"}
2021年10月22日0时55分29秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时55分29秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时55分21秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时55分21秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时55分20秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时55分20秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时55分20秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：1","data":[]}
2021年10月22日0时55分18秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时55分18秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=167&newNickName=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时55分18秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=19981&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":19981,"userId":"167"}}
2021年10月22日0时55分17秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时55分17秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=7e6ec965cf01465aa404b4e997e46a5e&result=1&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时54分25秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：1","data":[]}
2021年10月22日0时54分25秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：0","data":[]}
2021年10月22日0时54分23秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时54分23秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=256&newNickName=mbqi341276  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时54分22秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=31803&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":31803,"userId":"256"}}
2021年10月22日0时54分22秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时54分22秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=e70d86672dcb471792b4bb20b3736907&result=0&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时54分13秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=7e6ec965cf01465aa404b4e997e46a5e&simulatorId=010139026475479&otherNick=JHJ55696&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币多，你赢","data":"win"}
2021年10月22日0时54分13秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"7e6ec965cf01465aa404b4e997e46a5e"}
2021年10月22日0时54分5秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时54分1秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时54分1秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=167&newNickName=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时54分1秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=19867&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":19867,"userId":"167"}}
2021年10月22日0时54分1秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时54分1秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=1903123910654aaa899eab643e82e5f8&result=1&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时53分36秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=e70d86672dcb471792b4bb20b3736907&simulatorId=010305022787858&otherNick=%E5%90%A8%E5%B0%94%E5%91%B3%E5%8D%9C%E5%90%A8&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时53分36秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010305022787858  return:{"code":0,"message":"获取局id成功","data":"e70d86672dcb471792b4bb20b3736907"}
2021年10月22日0时53分35秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=1903123910654aaa899eab643e82e5f8&simulatorId=010139026475479&otherNick=%E4%B8%BB%E7%82%B8%EF%BC%81&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"对方不是自己人，你赢","data":"win"}
2021年10月22日0时53分34秒	api_获取游戏对局ID  url:http://192.168.10.22:8003/api/user/matchNew?simulatorId=010139026475479  return:{"code":0,"message":"获取局id成功","data":"1903123910654aaa899eab643e82e5f8"}
2021年10月22日0时53分27秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时53分27秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":0,"message":"可以报名","data":[]}
2021年10月22日0时53分27秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010305022787858  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时53分26秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：3","data":[]}
2021年10月22日0时53分26秒	api_是否开始报名  url:http://192.168.10.22:8003/api/user/askForEnroll?simulatorId=010139026475479  return:{"code":-1,"message":"等待大家一起报名，小组请求报名的人数：2","data":[]}
2021年10月22日0时53分24秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010305022787858  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时53分24秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=256&newNickName=mbqi341276  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时53分24秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=31935&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":{"goldCoin":31935,"userId":"256"}}
2021年10月22日0时53分24秒	api_要进入的游戏类型  url:http://192.168.10.22:8003/api/user/matchJoin?simulatorId=010139026475479  return:{"code":0,"message":"获取游戏场次类型成功","data":{"placeType":4,"name":"二人"}}
2021年10月22日0时53分24秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010305022787858  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时53分24秒	api_更新昵称  url:http://192.168.10.22:8003/api/user/updateNickName?userId=167&newNickName=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时53分24秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=e5cf7cb0656c44d2b5e4c39d972b5a07&result=1&simulatorId=010305022787858  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时53分23秒	api_更新金币数  url:http://192.168.10.22:8003/api/user/goldCoin?goldCoin=19621&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":{"goldCoin":19621,"userId":"167"}}
2021年10月22日0时53分23秒	api_询问是否继续打二麻  url:http://192.168.10.22:8003/api/user/again?&simulatorId=010139026475479  return:{"code":0,"message":"可以继续打","data":"success"}
2021年10月22日0时53分23秒	api_提交对局结果  url:http://192.168.10.22:8003/api/user/matchPlayResult2?matchId=6d719b4ae14544db8f742f7d2bcc9719&result=0&simulatorId=010139026475479  return:{"code":0,"message":"操作成功","data":[]}
2021年10月22日0时52分32秒	api_提交本局基本信息  url:http://192.168.10.22:8003/api/user/matchBaseInfo2?&matchId=e5cf7cb0656c44d2b5e4c39d972b5a07&simulatorId=010305022787858&otherNick=%E6%B8%85%E6%B8%85%E9%9F%B5%E5%84%BF&jsonMe=-1&type=1&jsonLandlord=-1  return:{"code":0,"message":"你金币多，你赢","data":"win"}
