2021年10月19日15时53分29秒	JJparents-11  执行步骤:修改密码
2021年10月19日15时40分11秒	JJparents-10  执行步骤:登录JJ斗地主
2021年10月19日15时40分11秒	JJparents-10  执行步骤:获取账号密码
2021年10月19日15时40分11秒	JJparents-10  执行步骤:登录游戏
2021年10月19日15时40分11秒	JJparents-10  执行步骤:退出游戏登录完成
2021年10月19日15时40分11秒	JJparents-10  执行步骤:打开完成
2021年10月19日15时40分10秒	JJparents-11  执行步骤:登录JJ斗地主
2021年10月19日15时40分10秒	JJparents-11  执行步骤:获取账号密码
2021年10月19日15时40分10秒	JJparents-11  执行步骤:登录游戏
2021年10月19日15时40分10秒	JJparents-11  执行步骤:退出游戏登录完成
2021年10月19日15时40分10秒	JJparents-11  执行步骤:打开完成
2021年10月19日15时40分4秒	JJparents-13  执行步骤:登录JJ斗地主
2021年10月19日15时40分4秒	JJparents-13  执行步骤:获取账号密码
2021年10月19日15时40分4秒	JJparents-13  执行步骤:登录游戏
2021年10月19日15时40分4秒	JJparents-13  执行步骤:退出游戏登录完成
2021年10月19日15时40分4秒	JJparents-13  执行步骤:打开完成
2021年10月19日15时38分59秒	JJparents-13  执行步骤:打开JJ斗地主
2021年10月19日15时38分59秒	JJparents-12  执行步骤:打开JJ斗地主
2021年10月19日15时38分59秒	JJparents-11  执行步骤:打开JJ斗地主
2021年10月19日15时38分58秒	JJparents-10  执行步骤:打开JJ斗地主
2021年10月19日15时32分2秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时32分2秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时31分53秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时31分53秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时31分44秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时31分44秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时31分35秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时31分35秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时31分26秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时31分26秒	JJparents-5  执行步骤:获取账号密码
2021年10月19日15时31分26秒	JJparents-5  执行步骤:登录游戏
2021年10月19日15时31分26秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月19日15时31分26秒	JJparents-5  执行步骤:打开完成
2021年10月19日15时30分23秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月19日15时26分15秒	JJparents-5  执行步骤:修改密码
2021年10月19日15时26分13秒	JJparents-5  执行步骤:登录结果:登录成功
2021年10月19日15时25分22秒	JJparents-8  执行步骤:修改密码
2021年10月19日15时25分20秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时25分19秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时25分19秒	JJparents-8  执行步骤:登录结果:登录成功
2021年10月19日15时25分18秒	JJparents-7  执行步骤:登录JJ斗地主
2021年10月19日15时25分18秒	JJparents-7  执行步骤:登录结果:账号被封
2021年10月19日15时25分11秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时25分11秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时25分7秒	JJparents-7  执行步骤:登录JJ斗地主
2021年10月19日15时25分7秒	JJparents-7  执行步骤:登录结果:账号被封
2021年10月19日15时25分2秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时25分2秒	JJparents-5  执行步骤:登录结果:账号已登录
2021年10月19日15时24分59秒	JJparents-7  执行步骤:登录JJ斗地主
2021年10月19日15时24分58秒	JJparents-7  执行步骤:登录结果:账号被封
2021年10月19日15时24分53秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时24分53秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时24分50秒	JJparents-7  执行步骤:登录JJ斗地主
2021年10月19日15时24分49秒	JJparents-7  执行步骤:登录结果:账号或密码错误
2021年10月19日15时24分44秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时24分44秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月19日15时24分40秒	JJparents-7  执行步骤:登录JJ斗地主
2021年10月19日15时24分40秒	JJparents-7  执行步骤:获取账号密码
2021年10月19日15时24分40秒	JJparents-7  执行步骤:登录游戏
2021年10月19日15时24分40秒	JJparents-7  执行步骤:退出游戏登录完成
2021年10月19日15时24分40秒	JJparents-7  执行步骤:打开完成
2021年10月19日15时24分34秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月19日15时24分34秒	JJparents-5  执行步骤:获取账号密码
2021年10月19日15时24分34秒	JJparents-5  执行步骤:登录游戏
2021年10月19日15时24分34秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月19日15时24分34秒	JJparents-5  执行步骤:打开完成
2021年10月19日15时24分31秒	JJparents-8  执行步骤:登录JJ斗地主
2021年10月19日15时24分31秒	JJparents-8  执行步骤:获取账号密码
2021年10月19日15时24分31秒	JJparents-8  执行步骤:登录游戏
2021年10月19日15时24分31秒	JJparents-8  执行步骤:退出游戏登录完成
2021年10月19日15时24分31秒	JJparents-8  执行步骤:打开完成
2021年10月19日15时24分31秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月19日15时24分30秒	JJparents-6  执行步骤:获取账号密码
2021年10月19日15时24分30秒	JJparents-6  执行步骤:登录游戏
2021年10月19日15时24分30秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月19日15时24分30秒	JJparents-6  执行步骤:打开完成
2021年10月19日15时23分19秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月19日15时23分19秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月19日15时23分19秒	JJparents-7  执行步骤:打开JJ斗地主
2021年10月19日15时23分18秒	JJparents-8  执行步骤:打开JJ斗地主
2021年10月19日15时21分2秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月19日15时21分2秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月19日15时21分2秒	JJparents-7  执行步骤:打开JJ斗地主
2021年10月19日15时21分	JJparents-8  执行步骤:打开JJ斗地主
