2021年10月18日17时59分45秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月18日17时57分19秒	JJparents-4  执行步骤:登录结果:登录成功
2021年10月18日17时57分11秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分11秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时57分2秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时57分2秒	JJparents-1  执行步骤:登录结果:账号已登录
2021年10月18日17时56分56秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时56分56秒	JJparents-2  执行步骤:登录结果:账号已登录
2021年10月18日17时56分53秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时56分53秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时56分44秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时56分44秒	JJparents-1  执行步骤:登录结果:账号已登录
2021年10月18日17时56分24秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时56分24秒	JJparents-4  执行步骤:登录结果:账号被封
2021年10月18日17时56分18秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时56分18秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时56分15秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时56分15秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时56分15秒	JJparents-4  执行步骤:登录结果:账号已登录
2021年10月18日17时56分15秒	JJparents-2  执行步骤:登录结果:账号已登录
2021年10月18日17时56分9秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时56分9秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时56分8秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月18日17时56分8秒	JJparents-3  执行步骤:登录结果:账号已登录
2021年10月18日17时56分6秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时56分6秒	JJparents-4  执行步骤:登录结果:账号被封
2021年10月18日17时56分5秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时56分5秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月18日17时55分59秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时55分59秒	JJparents-1  执行步骤:登录结果:账号已登录
2021年10月18日17时55分59秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月18日17时55分59秒	JJparents-3  执行步骤:登录结果:账号被封
2021年10月18日17时55分57秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时55分57秒	JJparents-4  执行步骤:登录结果:账号被封
2021年10月18日17时55分55秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时55分55秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月18日17时55分49秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时55分49秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时55分49秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月18日17时55分49秒	JJparents-3  执行步骤:登录结果:账号被封
2021年10月18日17时55分48秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时55分48秒	JJparents-4  执行步骤:登录结果:账号被封
2021年10月18日17时55分45秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时55分45秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月18日17时55分40秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时55分40秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时55分39秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时55分39秒	JJparents-4  执行步骤:登录结果:账号已登录
2021年10月18日17时55分39秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月18日17时55分39秒	JJparents-3  执行步骤:登录结果:账号已登录
2021年10月18日17时55分36秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时55分36秒	JJparents-2  执行步骤:登录结果:账号被封
2021年10月18日17时55分31秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时55分31秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时55分30秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时55分30秒	JJparents-4  执行步骤:登录结果:账号被封
2021年10月18日17时55分30秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月18日17时55分30秒	JJparents-3  执行步骤:登录结果:账号被封
2021年10月18日17时55分22秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时55分22秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月18日17时55分21秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时55分21秒	JJparents-4  执行步骤:登录结果:账号被封
2021年10月18日17时55分20秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月18日17时55分13秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月18日17时55分12秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月18日17时55分9秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月18日17时54分5秒	JJparents-4  执行步骤:
2021年10月18日17时54分5秒	JJparents-1  执行步骤:
2021年10月18日17时54分5秒	JJparents-2  执行步骤:
2021年10月18日17时54分5秒	JJparents-3  执行步骤:
