2021年10月20日15时59分53秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月20日15时57分13秒	JJparents-5  执行步骤:更新昵称
2021年10月20日15时57分13秒	JJparents-5  执行步骤:更新金币数
2021年10月20日15时57分3秒	JJparents-1  执行步骤:修改密码
2021年10月20日15时57分2秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时57分1秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月20日15时56分59秒	JJparents-3  执行步骤:修改密码
2021年10月20日15时56分57秒	JJparents-3  执行步骤:登录结果:登录成功
2021年10月20日15时56分48秒	JJparents-5  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时56分47秒	JJparents-2  执行步骤:修改密码成功
2021年10月20日15时56分46秒	JJparents-5  执行步骤:登录结果:登录成功
2021年10月20日15时56分33秒	JJparents-4  执行步骤:获取进入场
2021年10月20日15时56分33秒	JJparents-4  执行步骤:更新昵称
2021年10月20日15时56分33秒	JJparents-4  执行步骤:更新金币数
2021年10月20日15时56分21秒	JJparents-6  执行步骤:获取进入场
2021年10月20日15时56分21秒	JJparents-6  执行步骤:更新昵称
2021年10月20日15时56分21秒	JJparents-6  执行步骤:更新金币数
2021年10月20日15时56分21秒	JJparents-2  执行步骤:修改密码
2021年10月20日15时56分18秒	JJparents-2  执行步骤:登录结果:登录成功
2021年10月20日15时56分12秒	JJparents-4  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时56分11秒	JJparents-4  执行步骤:登录结果:登录成功
2021年10月20日15时55分59秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时55分57秒	JJparents-6  执行步骤:登录结果:登录成功
2021年10月20日15时55分56秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月20日15时55分56秒	JJparents-5  执行步骤:登录失败
2021年10月20日15时55分56秒	JJparents-5  执行步骤:登录结果:账号被封
2021年10月20日15时55分41秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时55分41秒	JJparents-3  执行步骤:登录失败
2021年10月20日15时55分41秒	JJparents-3  执行步骤:登录结果:账号被封
2021年10月20日15时55分32秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时55分32秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时55分32秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时55分32秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时55分32秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时55分30秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月20日15时55分30秒	JJparents-4  执行步骤:获取账号密码
2021年10月20日15时55分30秒	JJparents-4  执行步骤:登录游戏
2021年10月20日15时55分30秒	JJparents-4  执行步骤:退出游戏登录完成
2021年10月20日15时55分30秒	JJparents-4  执行步骤:打开完成
2021年10月20日15时55分29秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时55分29秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时55分29秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时55分29秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时55分29秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时55分26秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月20日15时55分26秒	JJparents-6  执行步骤:获取账号密码
2021年10月20日15时55分26秒	JJparents-6  执行步骤:登录游戏
2021年10月20日15时55分26秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月20日15时55分26秒	JJparents-6  执行步骤:打开完成
2021年10月20日15时55分26秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时55分26秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时55分26秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时55分26秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时55分26秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时55分24秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月20日15时55分24秒	JJparents-5  执行步骤:获取账号密码
2021年10月20日15时55分24秒	JJparents-5  执行步骤:登录游戏
2021年10月20日15时55分24秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月20日15时55分24秒	JJparents-5  执行步骤:打开完成
2021年10月20日15时54分22秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月20日15时54分22秒	JJparents-4  执行步骤:打开JJ斗地主
2021年10月20日15时54分22秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时54分22秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时54分22秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月20日15时54分22秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时52分50秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时52分49秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时52分49秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时52分49秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时52分49秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时51分58秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时50分14秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月20日15时50分13秒	JJparents-6  执行步骤:获取账号密码
2021年10月20日15时50分13秒	JJparents-6  执行步骤:登录游戏
2021年10月20日15时50分13秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月20日15时50分13秒	JJparents-6  执行步骤:打开完成
2021年10月20日15时50分9秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时50分9秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时50分9秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时50分9秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时50分9秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时50分7秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月20日15时50分6秒	JJparents-4  执行步骤:获取账号密码
2021年10月20日15时50分6秒	JJparents-4  执行步骤:登录游戏
2021年10月20日15时50分6秒	JJparents-4  执行步骤:退出游戏登录完成
2021年10月20日15时50分6秒	JJparents-4  执行步骤:打开完成
2021年10月20日15时50分2秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时50分2秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时50分2秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时50分2秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时50分2秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时50分1秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时50分1秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时50分1秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时50分1秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时50分1秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时50分1秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月20日15时50分1秒	JJparents-5  执行步骤:获取账号密码
2021年10月20日15时50分1秒	JJparents-5  执行步骤:登录游戏
2021年10月20日15时50分1秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月20日15时50分1秒	JJparents-5  执行步骤:打开完成
2021年10月20日15时48分58秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时48分58秒	JJparents-4  执行步骤:打开JJ斗地主
2021年10月20日15时48分58秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月20日15时48分58秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月20日15时48分58秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时48分58秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时45分42秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月20日15时45分42秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月20日15时45分42秒	JJparents-5  执行步骤:获取账号密码
2021年10月20日15时45分42秒	JJparents-5  执行步骤:登录游戏
2021年10月20日15时45分42秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月20日15时45分42秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时45分42秒	JJparents-5  执行步骤:打开完成
2021年10月20日15时45分42秒	JJparents-4  执行步骤:获取账号密码
2021年10月20日15时45分42秒	JJparents-4  执行步骤:登录游戏
2021年10月20日15时45分42秒	JJparents-4  执行步骤:退出游戏登录完成
2021年10月20日15时45分42秒	JJparents-4  执行步骤:打开完成
2021年10月20日15时45分42秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时45分42秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时45分42秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时45分42秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时45分42秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时45分42秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时45分42秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时45分42秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时45分42秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时45分40秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时45分40秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时45分40秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时45分40秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时45分40秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时45分36秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月20日15时45分36秒	JJparents-6  执行步骤:获取账号密码
2021年10月20日15时45分36秒	JJparents-6  执行步骤:登录游戏
2021年10月20日15时45分36秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月20日15时45分36秒	JJparents-6  执行步骤:打开完成
2021年10月20日15时44分34秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月20日15时44分34秒	JJparents-4  执行步骤:打开JJ斗地主
2021年10月20日15时44分34秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时44分33秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时44分33秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时44分33秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月20日15时42分45秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时42分45秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时42分45秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时42分45秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时42分45秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时42分36秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时42分35秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时42分35秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时42分35秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时42分35秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时42分35秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月20日15时42分35秒	JJparents-4  执行步骤:获取账号密码
2021年10月20日15时42分35秒	JJparents-4  执行步骤:登录游戏
2021年10月20日15时42分35秒	JJparents-4  执行步骤:退出游戏登录完成
2021年10月20日15时42分35秒	JJparents-4  执行步骤:打开完成
2021年10月20日15时42分35秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时42分35秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时42分35秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时42分35秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时42分35秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时42分34秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月20日15时42分34秒	JJparents-6  执行步骤:获取账号密码
2021年10月20日15时42分34秒	JJparents-6  执行步骤:登录游戏
2021年10月20日15时42分34秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月20日15时42分34秒	JJparents-6  执行步骤:打开完成
2021年10月20日15时42分30秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月20日15时42分30秒	JJparents-5  执行步骤:获取账号密码
2021年10月20日15时42分30秒	JJparents-5  执行步骤:登录游戏
2021年10月20日15时42分30秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月20日15时42分30秒	JJparents-5  执行步骤:打开完成
2021年10月20日15时41分28秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时41分28秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时41分28秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月20日15时41分28秒	JJparents-4  执行步骤:打开JJ斗地主
2021年10月20日15时41分28秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时41分28秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月20日15时38分11秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时38分11秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时38分11秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时38分11秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时38分11秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时37分57秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时37分57秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时37分57秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时37分57秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时37分57秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时37分55秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月20日15时37分55秒	JJparents-4  执行步骤:获取账号密码
2021年10月20日15时37分55秒	JJparents-4  执行步骤:登录游戏
2021年10月20日15时37分55秒	JJparents-4  执行步骤:退出游戏登录完成
2021年10月20日15时37分55秒	JJparents-4  执行步骤:打开完成
2021年10月20日15时37分52秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时37分52秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时37分52秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时37分52秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时37分52秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时37分46秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月20日15时37分46秒	JJparents-5  执行步骤:获取账号密码
2021年10月20日15时37分46秒	JJparents-5  执行步骤:登录游戏
2021年10月20日15时37分46秒	JJparents-5  执行步骤:退出游戏登录完成
2021年10月20日15时37分46秒	JJparents-5  执行步骤:打开完成
2021年10月20日15时37分46秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月20日15时37分46秒	JJparents-6  执行步骤:获取账号密码
2021年10月20日15时37分46秒	JJparents-6  执行步骤:登录游戏
2021年10月20日15时37分46秒	JJparents-6  执行步骤:退出游戏登录完成
2021年10月20日15时37分46秒	JJparents-6  执行步骤:打开完成
2021年10月20日15时36分45秒	JJparents-5  执行步骤:打开JJ斗地主
2021年10月20日15时36分44秒	JJparents-6  执行步骤:打开JJ斗地主
2021年10月20日15时36分44秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时36分44秒	JJparents-4  执行步骤:打开JJ斗地主
2021年10月20日15时36分44秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时36分43秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时27分49秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时27分49秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时27分49秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时27分49秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时27分49秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时27分48秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时27分48秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时27分48秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时27分48秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时27分48秒	JJparents-2  执行步骤:询问是否继续打二麻
2021年10月20日15时27分48秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时27分48秒	JJparents-1  执行步骤:询问是否继续打二麻
2021年10月20日15时27分45秒	JJparents-1  执行步骤:返回自由桌界面
2021年10月20日15时27分44秒	JJparents-2  执行步骤:返回自由桌界面
2021年10月20日15时27分12秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月20日15时27分11秒	JJparents-3  执行步骤:进入游戏获取对局ID
2021年10月20日15时27分11秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时27分6秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时27分6秒	JJparents-3  执行步骤:3秒后开始报名
2021年10月20日15时27分6秒	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时27分3秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时27分1秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时27分1秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时27分1秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时27分1秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时26分41秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时26分4秒	JJparents-1  执行步骤:修改密码成功
2021年10月20日15时25分40秒	JJparents-1  执行步骤:修改密码
2021年10月20日15时25分38秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月20日15时25分23秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时25分21秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时25分21秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时25分21秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时25分21秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时25分20秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时25分20秒	JJparents-2  执行步骤:询问是否继续打二麻
2021年10月20日15时25分17秒	JJparents-2  执行步骤:返回自由桌界面
2021年10月20日15时24分55秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时24分55秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时24分55秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时24分55秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时24分55秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时24分31秒	JJparents-3  执行步骤:等待报名
2021年10月20日15时24分29秒	JJparents-3  执行步骤:点开报名界面
2021年10月20日15时24分28秒	JJparents-3  执行步骤:获取进入场
2021年10月20日15时24分28秒	JJparents-3  执行步骤:更新昵称
2021年10月20日15时24分28秒	JJparents-3  执行步骤:更新金币数
2021年10月20日15时24分28秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时24分28秒	JJparents-3  执行步骤:询问是否继续打二麻
2021年10月20日15时24分25秒	JJparents-3  执行步骤:返回自由桌界面
2021年10月20日15时24分6秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时24分5秒	JJparents-3  执行步骤:进入游戏获取对局ID
2021年10月20日15时24分5秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时24分2秒	JJparents-1  执行步骤:金币不足
2021年10月20日15时24分	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时24分	JJparents-3  执行步骤:3秒后开始报名
2021年10月20日15时24分	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时23分57秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时23分55秒	JJparents-2  执行步骤:点开报名界面
2021年10月20日15时23分55秒	JJparents-2  执行步骤:获取进入场
2021年10月20日15时23分55秒	JJparents-2  执行步骤:更新昵称
2021年10月20日15时23分55秒	JJparents-2  执行步骤:更新金币数
2021年10月20日15时23分23秒	JJparents-2  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时23分8秒	JJparents-2  执行步骤:修改密码成功
2021年10月20日15时23分1秒	JJparents-3  执行步骤:等待报名
2021年10月20日15时22分58秒	JJparents-3  执行步骤:点开报名界面
2021年10月20日15时22分58秒	JJparents-3  执行步骤:获取进入场
2021年10月20日15时22分58秒	JJparents-3  执行步骤:更新昵称
2021年10月20日15时22分58秒	JJparents-3  执行步骤:更新金币数
2021年10月20日15时22分51秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时22分49秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时22分49秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时22分49秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时22分49秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时22分44秒	JJparents-2  执行步骤:修改密码
2021年10月20日15时22分42秒	JJparents-2  执行步骤:登录结果:登录成功
2021年10月20日15时22分38秒	JJparents-3  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时22分37秒	JJparents-3  执行步骤:登录结果:登录成功
2021年10月20日15时22分30秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时22分28秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月20日15时21分59秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时21分59秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时21分59秒	JJparents-2  执行步骤:登录失败
2021年10月20日15时21分59秒	JJparents-2  执行步骤:登录结果:账号或密码错误
2021年10月20日15时21分59秒	JJparents-3  执行步骤:登录失败
2021年10月20日15时21分59秒	JJparents-3  执行步骤:登录结果:账号被封
2021年10月20日15时21分50秒	JJparents-3  执行步骤:登录JJ斗地主
2021年10月20日15时21分50秒	JJparents-3  执行步骤:获取账号密码
2021年10月20日15时21分50秒	JJparents-3  执行步骤:登录游戏
2021年10月20日15时21分50秒	JJparents-3  执行步骤:退出游戏登录完成
2021年10月20日15时21分50秒	JJparents-3  执行步骤:打开完成
2021年10月20日15时21分50秒	JJparents-2  执行步骤:登录JJ斗地主
2021年10月20日15时21分49秒	JJparents-2  执行步骤:获取账号密码
2021年10月20日15时21分49秒	JJparents-2  执行步骤:登录游戏
2021年10月20日15时21分49秒	JJparents-2  执行步骤:退出游戏登录完成
2021年10月20日15时21分49秒	JJparents-2  执行步骤:打开完成
2021年10月20日15时21分48秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月20日15时21分48秒	JJparents-1  执行步骤:获取账号密码
2021年10月20日15时21分48秒	JJparents-1  执行步骤:登录游戏
2021年10月20日15时21分48秒	JJparents-1  执行步骤:退出游戏登录完成
2021年10月20日15时21分48秒	JJparents-1  执行步骤:打开完成
2021年10月20日15时20分52秒	JJparents-2  执行步骤:打开JJ斗地主
2021年10月20日15时20分52秒	JJparents-3  执行步骤:打开JJ斗地主
2021年10月20日15时20分52秒	JJparents-1  执行步骤:打开JJ斗地主
2021年10月20日15时19分52秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时19分49秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时19分49秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时19分49秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时19分49秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时19分49秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时19分49秒	JJparents-1  执行步骤:询问是否继续打二麻
2021年10月20日15时19分46秒	JJparents-1  执行步骤:返回自由桌界面
2021年10月20日15时19分6秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月20日15时18分57秒	JJparents-3  执行步骤:进入游戏获取对局ID
2021年10月20日15时18分57秒	JJparents-2  执行步骤:进入游戏获取对局ID
2021年10月20日15时18分52秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月20日15时18分52秒	JJparents-2  执行步骤:3秒后开始报名
2021年10月20日15时18分52秒	JJparents-3  执行步骤:3秒后开始报名
2021年10月20日15时18分49秒	JJparents-1  执行步骤:等待报名
2021年10月20日15时18分47秒	JJparents-1  执行步骤:点开报名界面
2021年10月20日15时18分47秒	JJparents-1  执行步骤:获取进入场
2021年10月20日15时18分47秒	JJparents-1  执行步骤:更新昵称
2021年10月20日15时18分47秒	JJparents-1  执行步骤:更新金币数
2021年10月20日15时18分26秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月20日15时18分25秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月20日15时18分7秒	JJparents-2  执行步骤:等待报名
2021年10月20日15时18分6秒	JJparents-3  执行步骤:等待报名
2021年10月20日15时18分5秒	JJparents-2  执行步骤:点开报名界面
